# XHUP Flow 官网权威字形数据:小鹤音形官网查形数据集(ixdata.json)确定性快照
# source: https://www.flypy.cc/ix/ (官方查形页;数据集随页面 ixdata.json 分发)
# source_payload_sha256: 5f0b7856df992efac8e5ec014cd9dbdf698131b49d4adec19c01a85a07aa0b42
# source_note: 官网未声明数据许可;所有者决策作为权威参照层入库(见 NOTICE.md 与 docs/data-pipeline.md)
# page_marker_semantics: 音码/形码后缀 `-`=出简让全(次读音); `*`=生僻音/替代码; `+`=表外字(多为方言字);与 official_char_code_oracle.tsv 语义一致
# columns: 字 TAB 全码 TAB 二级拆分 TAB 三级拆分 TAB 读音
#   全码 = 每读音一个 sound2+shape2 码, 空格分隔;标记保真保留,消费方按需剥离
#   读音 = 官网「拼音」原文(带声调, 空格分隔多读音);与 data/hanzi/readings.tsv 正交
# serialization: 字 Unicode 码点升序
# rows: 8414
伫	vura	亻 一	亻 宀 一	zhù
伭	xrry xmry	亻 幺	亻 亠 幺	xián xuán
伯	bdrb borb	亻 白	亻 白	bó bǎi bà
估	gurk	亻 口	亻 十 口	gū gù
伲	nirb	亻 匕	亻 尸 匕	nǐ nì
伴	bjrb	亻 半	亻 半	bàn
伶	lkrs	亻 龴	亻 人 丶 龴	líng
伸	ufru-	亻 申	亻 申	shēn
伺	cirk sirk	亻 口	亻 乛 一 口	sì cì
似	sirr uirr	亻 人	亻 乛 丶 人	sì shì
伽	gark jxrk qprk	亻 口	亻 力 口	qié jiā gā
伾	pirp	亻 丕	亻 丕	pī
佁	iirk yirk*	亻 口	亻 厶 口	yǐ chì
佃	dmrt tmrt	亻 田	亻 田	diàn tián
但	djra	亻 一	亻 日 一	dàn
位	wwrl	亻 立	亻 立	wèi
低	dird	亻 氐	亻 氐	dī
住	vurv-	亻 主	亻 主	zhù
佐	zorg	亻 工	亻 𠂇 工	zuǒ
佑	yzrk	亻 口	亻 𠂇 口	yòu
体	tirb	亻 本	亻 本	tǐ tī bèn
何	herk	亻 口	亻 丁 口	hé hē hè
佖	birb	亻 必	亻 必	bì
佗	torb	亻 匕	亻 宀 匕	tuó
佘	uerx	人 小	人 二 小	shé
余	yurh	人 余下	人 余下	yú
佚	yiru	亻 失	亻 失	yì
佛	forf furf*	亻 弗	亻 弗	fó fú bì bó
作	zorv	亻 乍	亻 乍	zuò zuō
佝	gzrk	亻 口	亻 勹 口	gōu kòu
佞	nkrn	亻 女	亻 二 女	nìng
佟	tsrd	亻 丶	亻 夂 丶 丶	tóng
你	nirx	亻 小	亻 ⺈ 小	nǐ
佢	qurj+	亻 巨	亻 巨	qú
佣	ysry-	亻 用	亻 用	yōng yòng
佤	warw	亻 瓦	亻 瓦	wǎ
佥	qmra	人 一	人 一 ⺍ 一	qiān
佧	karb+	亻 卜	亻 上 卜	kǎ
佩	pwrj	亻 巾	亻 几 一 巾	pèi
佬	lcrb	亻 匕	亻 耂 匕	lǎo
佯	yhry	亻 羊	亻 羊	yáng
佰	bdrb-	亻 百	亻 百	bǎi
佳	jxrt	亻 土	亻 土 土	jiā
佴	erre- ndre-	亻 耳	亻 耳	ěr nài
佶	jirk	亻 口	亻 士 口	jí
佸	hork	亻 口	亻 千 口	huó
佺	qrrw-	亻 王	亻 人 王	quán
佻	tnrd	亻 丶	亻 儿 冫 丿 丶	tiāo
佼	jnrx	亻 乂	亻 亠 八 乂	jiǎo
佽	cirr	亻 人	亻 冫 ⺈ 人	cì
佾	yiro	亻 月	亻 八 月	yì
使	uirl-	亻 吏	亻 吏	shǐ
侁	ufre	亻 儿	亻 ⺧ 儿	shēn
侂	torq	亻 七	亻 广 丿 七	tuō
侃	kjrv	亻 乛	亻 口 丿 丨 乛	kǎn
侄	virt	亻 土	亻 一 厶 土	zhí
侈	iirx-	亻 夕	亻 夕 夕	chǐ
侉	kxrk	亻 亏	亻 大 亏	kuǎ
例	lird-	亻 刂	亻 歹 刂	lì
侍	uirc	亻 寸	亻 土 寸	shì
侏	vurv	亻 朱	亻 朱	zhū
侑	yzro	亻 月	亻 𠂇 月	yòu
侔	mzrn	亻 牛	亻 厶 牛	móu
侗	dsrk tsrk	亻 口	亻 冂 一 口	dòng tóng tǒng
侘	iarq	亻 七	亻 宀 丿 七	chà
供	gsrb	亻 八	亻 艹 一 八	gōng gòng
依	yiry-	亻 𧘇	亻 亠 𧘇	yī
侠	xxrj-	亻 夹	亻 夹	xiá
価	jxrx+	亻 西	亻 西	jià
侣	lvrk	亻 口	亻 口 口	lǚ
侥	jnrw ycrw	亻 兀	亻 一 乛 丿 兀	jiǎo yáo
侦	vfrr	亻 人	亻 丨 一 冂 人	zhēn
侧	cerd vdrd	亻 刂	亻 冂 人 刂	cè zè zhāi
侨	qnrl	亻 丨	亻 夭 丿 丨	qiáo
侩	kkrs	亻 厶	亻 人 二 厶	kuài
侪	idrl	亻 丨	亻 文 丿 丨	chái
侬	nsrn	亻 农	亻 农	nóng
侮	wurm	亻 母	亻 丿 一 母	wǔ
侯	hzru	亻 矢	亻 乛 一 矢	hóu hòu
侴	hcrd	人 刂	人 一 丑 刂	hào chǒu
侵	qbry-	亻 又	亻 彐 冖 又	qīn
侹	tkrz	亻 廴	亻 壬 廴	tǐng
便	bmrg pmrg	亻 更	亻 更	biàn pián
係	xirx+	亻 小	亻 丿 幺 小	xì
促	curr	亻 人	亻 口 丨 一 人	cù
俄	eerw	亻 我	亻 我	é
俅	qqrq	亻 求	亻 求	qiú
俊	jyrw	亻 夂	亻 厶 八 夂	jùn
俍	llrl	亻 良	亻 良	liáng
俎	zurq	人 且	人 人 且	zǔ
俏	qnro	亻 月	亻 ⺌ 月	qiào xiào
俐	lird	亻 刂	亻 禾 刂	lì
俑	ysry	亻 用	亻 龴 用	yǒng
俗	surk	亻 口	亻 八 人 口	sú
俘	furz	亻 子	亻 丿 ⺍ 子	fú
俙	xirj*	亻 巾	亻 乂 𠂇 巾	xī
俚	lirl-	亻 里	亻 里	lǐ
俜	pkrv-	亻 乛	亻 由 一 乛	pīng
保	bcrm	亻 木	亻 口 木	bǎo
俞	yurd	人 刂	人 一 月 刂	yú yù shù
俟	siru qiru*	亻 矢	亻 厶 矢	sì qí
信	xbrk	亻 口	亻 亠 一 一 口	xìn shēn
俣	yurt	亻 天	亻 口 天	yǔ
俤	dirp+	亻 丿	亻 丷 乛 一 乛 丨 丿	dì
俦	izrc	亻 寸	亻 寿上 寸	chóu
俨	yjry-	亻 严	亻 严	yǎn
俩	lxrl llrl-	亻 两	亻 两	liǎng liǎ
俪	lirl	亻 丽	亻 丽	lì
俫	ldrl	亻 来	亻 来	lái
俭	jmra	亻 一	亻 人 一 ⺍ 一	jiǎn
修	xqrp	亻 丿	亻 丨 夂 丿 丿 丿	xiū
俯	furc-	亻 寸	亻 广 亻 寸	fǔ
俱	jurb	亻 八	亻 具上 八	jù
俳	pdrf-	亻 非	亻 非	pái
俵	bnry	亻 𧘇	亻 龶 𧘇	biào
俶	iury tiry	亻 又	亻 上 小 又	chù tì
俸	fgrl	亻 丨	亻 寿上 ㄟ 一 一 丨	fèng
俺	anrd	亻 电	亻 大 电	ǎn
俾	biru-	亻 十	亻 丿 丨 乛 一 一 丿 十	bǐ
倌	grrk	亻 㠯	亻 宀 㠯	guān
倍	bwrk	亻 口	亻 立 口	bèi
倏	uurq-	亻 犬	亻 丨 夂 犬	shū
倒	dcrd	亻 刂	亻 一 厶 土 刂	dǎo dào
倓	tjrh	亻 火	亻 火 火	tán tǎn
倔	jtri	亻 出	亻 尸 出	jué juè
倕	ivri	亻 垂	亻 垂	chuí
倘	thrk ihrk	亻 口	亻 ⺌ 冂 口	tǎng cháng
候	hzru-	亻 矢	亻 丨 乛 一 矢	hòu
倚	yirk	亻 口	亻 大 丁 口	yǐ
倜	tirk	亻 口	亻 冂 土 口	tì
倞	jkrx llrx*	亻 小	亻 亠 口 小	liàng jìng
借	jpro	亻 日	亻 艹 一 日	jiè
倡	ihro	亻 日	亻 日 日	chàng chāng
倥	ksrg	亻 工	亻 宀 八 工	kōng kǒng
倦	jrrv	亻 乛	亻 龹 乛 乛	juàn
倧	zsrx	亻 小	亻 宀 二 小	zōng
倨	jurk	亻 口	亻 尸 十 口	jù
倩	qkro qmro	亻 月	亻 龶 月	qiàn qìng
倪	nire	亻 儿	亻 臼 儿	ní
倬	voru	亻 十	亻 丨 一 日 十	zhuō
倭	worn	亻 女	亻 禾 女	wō wēi
倮	lorg	亻 果	亻 果	luǒ
倴	bfrc	亻 廾	亻 大 十 廾	bèn
债	vdrr	亻 人	亻 龶 冂 人	zhài
倻	yere	亻 阝	亻 耳 阝	yē
值	virq	亻 具上	亻 十 具上	zhí
倾	qkrr	亻 人	亻 比左 一 丿 冂 人	qīng
偁	igrr	亻 冉	亻 丿 ⺍ 冉	chēng
偃	yjrn	亻 女	亻 匚 日 女	yǎn
假	jxry-	亻 又	亻 乛 一 丨 一 一 乛 一 又	jiǎ jià
偈	jirv jprv	亻 乛	亻 日 勹 人 乛	jì jié
偌	rork	亻 口	亻 艹 𠂇 口	ruò
偎	wwrn	亻 ㄟ	亻 田 一 乛 丿 ㄟ	wēi
偏	pmrc	亻 艹	亻 户 冂 艹	piān
偓	wort	亻 土	亻 尸 一 厶 土	wò
偕	xprb	亻 白	亻 比左 匕 白	xié
做	zorw	亻 攵	亻 十 口 攵	zuò
停	tkrd	亻 丁	亻 亠 口 冖 丁	tíng
偡	vjrv	亻 乛	亻 其上 八 乛	zhàn
健	jmrz	亻 廴	亻 聿 廴	jiàn
偬	zsrx-	亻 心	亻 匆 心	zǒng
偭	mmrm	亻 面	亻 面	miǎn
偰	xprd	亻 大	亻 丰 刀 大	xiè
偲	cdrx sirx	亻 心	亻 田 心	cāi sī
偶	oury	亻 禺	亻 禺	ǒu
偷	tzrd	亻 刂	亻 人 一 月 刂	tōu
偻	lvrn lzrn-	亻 女	亻 米 女	lǚ lóu
偾	ffrr*	亻 人	亻 十 艹 冂 人	fèn
偿	ihrs	亻 厶	亻 ⺌ 冖 二 厶	cháng
傀	kvrg	亻 鬼	亻 鬼	kuǐ
傃	surx	亻 小	亻 龶 幺 小	sù
傅	furc	亻 寸	亻 甫 寸	fù
傈	lirm	亻 木	亻 西 木	lì
傉	nurc	亻 寸	亻 厂 二 乛 丿 ㄟ 寸	nù
傍	bhrf-	亻 方	亻 亠 丷 冖 方	bàng
傒	xird	亻 大	亻 丿 ⺍ 幺 大	xī xì
傕	jtrf	亻 龶	亻 丶 乛 丿 丨 亠 龶	jué
傣	ddru	亻 氺	亻 寿上 ㄟ 氺	dǎi
傥	thre	亻 儿	亻 ⺌ 冖 口 儿	tǎng
傧	bbrb	亻 八	亻 宀 丘 八	bīn
储	iuro	亻 日	亻 讠 耂 日	chǔ
傩	norf	亻 龶	亻 又 亻 亠 龶	nuó
催	cvrf	亻 龶	亻 山 亻 亠 龶	cuī
傲	aorw	亻 攵	亻 龶 乛 丿 攵	ào
傺	iirx	亻 小	亻 丿 乛 丶 丶 二 小	chì
傻	uarw	亻 夂	亻 丿 囗 乂 八 夂	shǎ
僇	lurp	亻 丿	亻 习 习 人 丿 丿 丿	lù
僎	vrrb	亻 八	亻 巳 巳 艹 一 八	zhuàn
像	xlrn	亻 ㄟ	亻 ⺈ 丨 乛 一 丿 乛 丿 丿 丿 ㄟ	xiàng
僔	zyrc	亻 寸	亻 丷 酉 寸	zǔn
僖	xirk	亻 口	亻 士 口 丷 一 口	xī
僚	lnrx	亻 小	亻 大 丶 丿 日 小	liáo
僦	jqry	亻 尤	亻 亠 口 小 尤	jiù
僧	sgro	亻 日	亻 丷 囗 ⺌ 日	sēng
僬	jnrh*	亻 灬	亻 亻 亠 龶 灬	jiāo
僭	jmro-	亻 日	亻 一 乛 丿 乛 一 乛 丿 乛 日	jiàn
僮	tsrl vlrl	亻 里	亻 立 里	tóng zhuàng
僰	boar	一 人	一 丨 乛 丨 丿 ㄟ 一 丨 乛 丨 丿 ㄟ 人	bó
僳	surm	亻 米	亻 西 米	sù
僵	jlra	亻 一	亻 一 田 一 田 一	jiāng
僻	piru-	亻 十	亻 尸 口 立 十	pì
儆	jkrw	亻 攵	亻 艹 勹 口 攵	jǐng
儇	xrry-	亻 𧘇	亻 罒 一 口 𧘇	xuān
儋	djrk	亻 口	亻 ⺈ 厂 八 亠 一 一 口	dān dàn
儒	rure	亻 而	亻 雨 而	rú
儡	lwrt	亻 田	亻 田 田 田	léi lěi
儦	bnrh	亻 灬	亻 广 乛 丨 丨 一 比左 匕 灬	biāo
儳	ijrd	亻 丶	亻 ⺈ 口 比左 匕 ⺈ 丨 乛 一 丿 乛 丶	chán chàn
儴	rhry	亻 𧘇	亻 亠 口 口 一 一 丨 丨 一 𧘇	ráng
儿	erpv	丿 乛	丿 乛	ér er
兀	wuae	一 儿	一 儿	wù
允	yyse-	厶 儿	厶 儿	yǔn
元	yree	二 儿	二 儿	yuán
兄	xske	口 儿	口 儿	xiōng
充	iswe-	亠 儿	亠 厶 儿	chōng
兆	vced	儿 丶	儿 冫 丿 丶	zhào
先	xmne	⺧ 儿	⺧ 儿	xiān
光	glxw	⺌ 兀	⺌ 兀	guāng
克	keue-	十 儿	十 口 儿	kè kēi
免	mmdv-	⺈ 乛	⺈ 丨 乛 一 丿 乛	miǎn
兑	dvbe	丷 儿	丷 口 儿	duì ruì yuè
兔	tudd	⺈ 丶	⺈ 丨 乛 一 丿 乛 丶	tù
兕	siae	凹 儿	凹 儿	sì
兖	yjwe	亠 儿	亠 八 厶 儿	yǎn
党	dhxe-	⺌ 儿	⺌ 冖 口 儿	dǎng
兜	dzpe	丿 儿	丿 乛 白 乛 一 儿	dōu
兢	jkue-	十 儿	十 口 儿 十 口 儿	jīng
入	rupn	丿 ㄟ	丿 ㄟ	rù
全	qrrw	人 王	人 王	quán
八	bapn	丿 ㄟ	丿 ㄟ	bā
公	gsbs	八 厶	八 厶	gōng
六	lqwb	亠 八	亠 八	liù
兮	xibv	八 乛	八 一 乛	xī
兰	ljbs	丷 三	丷 三	lán
共	gscb	艹 八	艹 一 八	gòng gōng
兲	tmwb+	王 八	王 八	tiān
关	grbt	丷 天	丷 天	guān
兴	xkxb	⺍ 八	⺍ 一 八	xīng xìng
兵	bkqb	丘 八	丘 八	bīng
其	jiqb qiqb	其上 八	其上 八	qí jī
具	juqb-	具上 八	具上 八	jù
典	dmlb	丨 八	丨 乛 一 丨 丨 一 八	diǎn
兹	ziby ciby	丷 幺	丷 一 幺 幺	zī
养	yhyl	⺶ 丨	⺶ ㄟ 丿 丨	yǎng
兼	jmbn-	丷 ㄟ	丷 一 乛 一 一 丨 丨 丿 ㄟ	jiān
兽	uzbk	丷 口	丷 田 一 口	shòu
冀	jilb-	丨 八	丨 一 一 匕 田 艹 一 八	jì
冁	ijbn	丷 ㄟ	丷 丨 乛 一 一 一 丨 尸 艹 一 乛 丿 ㄟ	chǎn
内	nwld	丨 丶	丨 乛 丿 丶	nèi nà
円	yrka+	冂 一	冂 丨 一	yuán
冇	mcuk+	𠂇 冂	𠂇 冂	mǎo
冈	ghkx	冂 乂	冂 乂	gāng
冉	rjla	丨 一	丨 乛 丨 一 一	rǎn
册	cepa	丿 一	丿 乛 丿 乛 一	cè
再	zdar	一 冉	一 冉	zài
冏	jskk	冂 口	冂 八 口	jiǒng
冒	mcko moko	冂 目	冂 一 一 目	mào mò
冓	gzar+	一 冉	一 一 丨 丨 一 冉	gòu
冔	xuky*	冂 于	冂 一 一 口 于	xú
冕	mmkv	冂 乛	冂 一 一 ⺈ 丨 乛 一 丿 乛	miǎn
冗	rsbj	冖 几	冖 几	rǒng
写	xpby	冖 与	冖 与	xiě
冚	kjbe+	冖 山	冖 山	kǎn
军	jybi-	冖 车	冖 车	jūn
农	nsdn-	丶 ㄟ	丶 乛 丿 乛 丿 ㄟ	nóng
冠	grbc	冖 寸	冖 二 儿 寸	guān guàn
冢	vsbn-	冖 ㄟ	冖 一 丿 乛 丿 丿 丶 丿 ㄟ	zhǒng
冤	yrbd-	冖 丶	冖 ⺈ 丨 乛 一 丿 乛 丶	yuān
冥	mkbb	冖 八	冖 日 亠 八	míng
冧	lbbm+	冖 木	冖 木 木	lín
冬	dswd	夂 丶	夂 丶 丶	dōng
冮	ghdg	冫 工	冫 工	gāng
冯	pkdm* fgdm-	冫 马	冫 马	féng píng
冰	bkdu-	冫 水	冫 水	bīng
冱	hudh*	冫 互	冫 互	hù
冲	isdv	冫 中	冫 中	chōng chòng
决	jtdg-	冫 夬guài	冫 夬	jué
冴	yady+	冫 牙	冫 牙	yà
况	klde	冫 儿	冫 口 儿	kuàng
冶	yedk	冫 口	冫 厶 口	yě
冷	lgds-	冫 龴	冫 人 丶 龴	lěng
冻	dsdd	冫 东	冫 东	dòng
冼	xmde-	冫 儿	冫 ⺧ 儿	xiǎn
冽	lpdd	冫 刂	冫 歹 刂	liè
净	jkdl-	冫 丨	冫 ⺈ 乛 一 一 丨	jìng
凄	qidn	冫 女	冫 一 乛 一 一 丨 女	qī
准	vydf	冫 龶	冫 亻 亠 龶	zhǔn
凇	ssds*	冫 厶	冫 木 八 厶	sōng
凉	lldx	冫 小	冫 亠 口 小	liáng liàng
凊	qkdo+	冫 月	冫 龶 月	qìng
凋	dndk-	冫 口	冫 冂 土 口	diāo
凌	lkdw	冫 夂	冫 土 八 夂	líng
减	jmdk-	冫 口	冫 戌 口	jiǎn
凑	czdt	冫 天	冫 寿上 ㄟ 天	còu
凓	lidm*	冫 木	冫 西 木	lì
凘	sidj*	冫 斤	冫 其上 八 斤	sī
凛	lbdx	冫 小	冫 亠 囗 口 二 小	lǐn
凝	nkdr-	冫 人	冫 匕 矢 龴 乛 丨 一 人	níng
几	jipv	丿 乛	丿 乛	jī jǐ
凡	fjjd-	几 丶	几 丶	fán
凤	fgjy	几 又	几 又	fèng
凨	fgjs+	几 厶	几 二 厶	fēng
凪	vijv+	几 止	几 止	zhǐ
凫	fupj-	丿 几	丿 乛 丶 乛 几	fú
凬	fgjo+	几 日	几 一 日	fēng
凭	pkrj	亻 几	亻 壬 几	píng
凯	kdej	山 几	山 己 几	kǎi
凰	hljw-	几 王	几 白 王	huáng
凳	dgvj	乛 几	乛 丶 丿 丿 ㄟ 一 口 丷 一 几	dèng
凶	xsxk-	乂 凵	乂 凵	xiōng
凸	tula	丨 一	丨 一 丨 乛 一	tū
凹	aola wala-	丨 一	丨 乛 丨 乛 一	āo wā
出	iuvk	乛 凵	乛 丨 丨 凵	chū
击	jiak-	一 凵	一 一 丨 凵	jī
凼	dhuk	水 凵	水 凵	dàng
函	hjlk	了 凵	了 冫 丿 丶 凵	hán
凿	zcyk-	业 凵	业 丷 一 十 凵	záo
刀	dcvp	乛 丿	乛 丿	dāo
刁	dnva-	乛 一	乛 一	diāo
刃	rfdd-	刀 丶	刀 丶	rèn
分	ffbd-	八 刀	八 刀	fēn fèn
切	qpqd	七 刀	七 刀	qiē qiè
刈	yixd*	乂 刂	乂 刂	yì
刊	kjgd	干 刂	干 刂	kān
刍	iude	⺈ 彐	⺈ 彐	chú
刎	wfwd	勿 刂	勿 刂	wěn
刑	xkkd	开 刂	开 刂	xíng
划	hxgd-	戈 刂	戈 刂	huá huà
刖	ytod	月 刂	月 刂	yuè
列	lpdd-	歹 刂	歹 刂	liè
刘	lqwd	文 刂	文 刂	liú
则	zekd	冂 刂	冂 人 刂	zé
刚	ghkd	冂 刂	冂 乂 刂	gāng
创	ilrd	人 刂	人 乛 乛 刂	chuàng chuāng
初	iupd-	衤 刀	衤 刀	chū
删	ujcd	册 刂	册 刂	shān
判	pjbd	半 刂	半 刂	pàn
刨	bcbd pcbd	勹 刂	勹 巳 刂	páo bào
利	lihd-	禾 刂	禾 刂	lì
别	bpkd-	口 刂	口 力 刂	bié biè
刬	ijjd*	戋 刂	戋 刂	chǎn chàn
刭	jkvd	乛 刂	乛 丶 工 刂	jǐng
刮	gxqd	千 刂	千 口 刂	guā
到	dcad	一 刂	一 厶 土 刂	dào
刳	kudd-	大 刂	大 亏 刂	kū
制	vipd-	丿 刂	丿 一 一 丨 乛 丨 刂	zhì
刷	uxud	尸 刂	尸 巾 刂	shuā shuà
券	qrjd xrjd	龹 刀	龹 刀	quàn xuàn quàn
刹	iaxd uaxd	乂 刂	乂 朩 刂	chà shā
刺	ciad	一 刂	一 丨 乛 丨 丿 ㄟ 刂	cì cī
刻	kewd-	亠 刂	亠 乛 丿 人 刂	kè
刽	gvrd	人 刂	人 二 厶 刂	guì
刿	gved	山 刂	山 夕 刂	guì
剀	kded	山 刂	山 己 刂	kǎi
剁	dojd	几 刂	几 木 刂	duò
剂	jiwd	文 刂	文 丿 丨 刂	jì
剃	tibd	丷 刂	丷 乛 一 乛 丨 丿 刂	tì
剅	lzad	一 刂	一 口 丷 一 刂	lóu
削	xnxd xtxd-	⺌ 刂	⺌ 月 刂	xiāo xuē
