# xhup-knowledge-sources/v1
# id kind url revision path blob sha256 license extractor usage priority notes (TAB separated)
brglng-xhup-schema	xhup	https://github.com/brglng/rime-xhup	54a180f553e27937d0d77d080c0b8f0c14b0d99e	xhup.schema.yaml	af1cd5862fe2c8cc732b570e15456613fa4c7f6e	-	oracle-facts-only	xhup-rule-review-v1	oracle	60	README declares public domain; narrow configuration comparison only; external official binaries are not mirrored
core-readings	reading	https://github.com/mozillazg/pinyin-data	923b108dc5d45dee061324c011b478fb649f8b73	kMandarin_8105.txt+kTGHZ2013.txt	-	-	MIT	core-readings-normalization-v1	redistributable	80	Curated union; original one-off extractor not retained; data/hanzi/README.md
flow-core-composition	project	https://github.com/jacek4yang/rime-xhup-flow	ab93235be14d4181eccbcf36b6b90ead0b1262d1	crates/xhup-core/src/encoder.rs	-	-	LGPL-3.0-only	core-reading-shape-product-v1	redistributable	50	Derived from core-readings and rime-fast-xhup; layout and syllables pinned by project revision
flow-v1-policy	project	https://github.com/jacek4yang/rime-xhup-flow	778bfa53a28f9eced48d6557fe75d1a3fed75c27	docs/release-readiness.md	9b591360859512375dda0bb3b819e4198b7ab650	-	LGPL-3.0-only	xhup-rule-policy-v1	redistributable	80	Frozen v1 product policy and aliases; not official Xiaohe evidence
flow-v2-compiler-policy	project	https://github.com/jacek4yang/rime-xhup-flow	778bfa53a28f9eced48d6557fe75d1a3fed75c27	crates/xhup-analyzer/src/candidates.rs	e5488d2fc2d6cde2cb3f4871646ec7c64de50d8c	-	LGPL-3.0-only	xhup-rule-policy-v1	redistributable	80	F/I shortcut grammar; exact protected alias assignments remain flow-v1-policy
flypy-help-gz	oracle	https://flypy.cc/help/gz.md	sha256-15376a590f83a4e637c47cd98ec4084564d2601581697339bc58d5da40a23a0c	help/gz.md	-	15376a590f83a4e637c47cd98ec4084564d2601581697339bc58d5da40a23a0c	oracle-facts-only	xhup-rule-review-v1	oracle	100	Shape principles and narrow examples only; no document or artwork mirroring
flypy-help-jm	oracle	https://flypy.cc/help/jm.md	sha256-b48a86a201bf10381b1c793fcf10fa297077bd8dd51b3b1380dfe9dbbda69be9	help/jm.md	-	b48a86a201bf10381b1c793fcf10fa297077bd8dd51b3b1380dfe9dbbda69be9	oracle-facts-only	xhup-rule-review-v1	oracle	100	Shortcut assignment conventions; no shortcut-list redistribution
flypy-help-up	oracle	https://flypy.cc/help/up.md	sha256-bd33f871bfe2890e71017cf3fb5883a8db5531e7fecbd28977345ad6428f492e	help/up.md	-	bd33f871bfe2890e71017cf3fb5883a8db5531e7fecbd28977345ad6428f492e	oracle-facts-only	xhup-rule-review-v1	oracle	100	Sound and zero-initial spelling rules; no linguistic reading inference
flypy-help-ux	oracle	https://flypy.cc/help/ux.md	sha256-ca507bf8d5f54cf7ea0df5da0f2c99769229782247b844395c8db9a8d8125a03	help/ux.md	-	ca507bf8d5f54cf7ea0df5da0f2c99769229782247b844395c8db9a8d8125a03	oracle-facts-only	xhup-rule-review-v1	oracle	100	Narrow published character decomposition examples only
flypy-help-xh	oracle	https://flypy.cc/help/xh.md	sha256-ee4013337bec66683097fec55701a1729cc9776a35583c9fb3629fe9473bdc14	help/xh.md	-	ee4013337bec66683097fec55701a1729cc9776a35583c9fb3629fe9473bdc14	oracle-facts-only	xhup-rule-review-v1	oracle	100	Published character and fixed-four-key phrase examples; not a complete official dictionary
flypy-keyboard	oracle	https://flypy.cc/help/assets/img/heup.webp	sha256-6ad2499c945a6b86f3e247a882b44fdb9f930d8409467611062f95eb36863dc0	help/assets/img/heup.webp	-	6ad2499c945a6b86f3e247a882b44fdb9f930d8409467611062f95eb36863dc0	oracle-facts-only	xhup-keyboard-review-v1	oracle	100	Visually checked key relations; image is not redistributed; ASCII v represents umlaut u
flypy-official-ix	oracle	https://flypy.cc/ix/ixdata.json	flypy-ix-d33e6afa-v1	ix/ixdata.json	-	d33e6afa77d2586c097876674ad11cb33ea834e455be4bb704e05a9f33ad7dd4	oracle-facts-only	xhup-official-oracle-v1	oracle	100	Only four existing regression facts; no dataset redistribution grant
rime-double-pinyin-flypy	xhup	https://github.com/rime/rime-double-pinyin	01a13287cbd27819be1c34fa1ddc1b3643d5001b	double_pinyin_flypy.schema.yaml	4c78a06b5df625c82904ec2a6b07e161c79cf44a	-	GPL-3.0-only	xhup-rule-review-v1	redistributable	70	Independent sound-layout comparison only; no shape or official phrase evidence
rime-fast-xhup	xhup	https://github.com/boomker/rime-fast-xhup	308d6d29c5a612fec7282923e49d3cd5453bab48	cn_dicts/flypy_chars.dict.yaml	3c2773335c8108bbe896b9af588d619e22045132	5eeda7a9976cf7d8ed1bc487bdccc02d7f423425515d814309328ff61b6b4291	LGPL-3.0	extract-attested-char-codes-v1	redistributable	80	Core shape projection shares this source; license blob 0a041280bd00a9d068f503b8ee7ce35214bd24a1
rime-fast-xhup-schema	xhup	https://github.com/boomker/rime-fast-xhup	308d6d29c5a612fec7282923e49d3cd5453bab48	flypy_xhfast.schema.yaml	d1459b94a5621aa3ca8ad29b6476b16ee628245c	-	LGPL-3.0	xhup-rule-review-v1	redistributable	70	Modern sound plus auxiliary shape behavior; character table remains the existing rime-fast-xhup source
wanxiang-characters	frequency	https://github.com/amzxyz/rime-wanxiang	7ec998b28c9a5c57260d2ba24b264c1c1820e0ef	dicts/zi.dict.yaml	9a69cb891f2e0c158313d14e0ea6c3925ca081ef	-	CC-BY-4.0	extract-wanxiang-frequency-v1	redistributable	70	Semantic upstream amzxyz/RIME-LMDG; data/frequency/LICENSE.wanxiang
wanxiang-words	lexicon	https://github.com/amzxyz/rime-wanxiang	4618d67a978ff4f41b165c10b35558d38e333ab1	dicts/jichu.dict.yaml	a0f66e2fc6130f3f1c9b2e5109644c8b893477b0	-	CC-BY-4.0	extract-wanxiang-words-v1	redistributable	70	Hot and extended share a source; semantic upstream RIME-LMDG is not independent corroboration
